PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
39870803,Crosstalk between GLTSCR1-deficient endothelial cells and tumour cells promotes colorectal cancer development by activating the Notch pathway.,2025 Jan 27,N.A.,N.A.,N.A.
39870786,Correction: Targeting the vasopressin type-2 receptor for renal cell carcinoma therapy.,2025 Jan 27,N.A.,N.A.,N.A.
39870769,Relationship between neutropenia caused by nanoliposomal irinotecan/fluorouracil/leucovorin and treatment outcomes in the NAPOLEON-2 study (NN-2301).,2025 Jan 27,N.A.,N.A.,N.A.
39870768,Effective eradication of acute myeloid leukemia stem cells with FLT3-directed antibody-drug conjugates.,2025 Jan 27,N.A.,N.A.,N.A.
39870767,International myeloma working group immunotherapy committee recommendation on sequencing immunotherapy for treatment of multiple myeloma.,2025 Jan 27,N.A.,N.A.,N.A.
39870764,Plasma membrane-associated ARAF condensates fuel RAS-related cancer drug resistance.,2025 Jan 27,N.A.,N.A.,N.A.
39870737,A fractal-fractional order modeling approach to understanding stem cell-chemotherapy combinations for cancer.,2025 Jan 28,N.A.,N.A.,N.A.
39870720,Exploring the efficacy of fluorouracil and platinum based chemotherapy in advanced hepatocellular carcinoma to bridge the treatment gap in resource limited settings.,2025 Jan 27,N.A.,N.A.,N.A.
39870681,Advances and prospects of cell-penetrating peptides in tumor immunotherapy.,2025 Jan 27,N.A.,N.A.,N.A.
39870669,Developing anti-TDE vaccine for sensitizing cancer cells to treatment and metastasis control.,2025 Jan 27,N.A.,N.A.,N.A.
39870636,Recombinant XBB.1.5 boosters induce robust neutralization against KP.2- and KP.3-included JN.1 sublineages.,2025 Jan 27,N.A.,N.A.,N.A.
39870616,METTL1 coordinates cutaneous squamous cell carcinoma progression via the m7G modification of the ATF4 mRNA.,2025 Jan 27,N.A.,N.A.,N.A.
39870588,"Platinum drugs upregulate CXCR4 and PD-L1 expression via ROS-dependent pathways, with implications for novel combined treatment in gastric cancer.",2025 Jan,N.A.,N.A.,N.A.
39870584,Evidence-Based Surgical Guidelines for Treating Children With Rhabdomyosarcoma.,2025 Jan 27,N.A.,N.A.,N.A.
39870564,Prediction of Radiation Therapy Induced Cardiovascular Toxicity from Pretreatment CT Images in Patients with Thoracic Malignancy via an Optimal Biomarker Approach.,2025 Jan 26,N.A.,N.A.,N.A.
39870548,"Corrigendum to ""Isoalantolactone/hydroxamic acid hybrids as potent dual STAT3/HDAC inhibitors and self-assembled nanoparticles for cancer therapy"" [Euro. J. Med. Chem. (2024) 116765].",2025 Jan 26,N.A.,N.A.,N.A.
39870492,Combined PARP14 inhibition and PD-1 blockade promotes cytotoxic T cell quiescence and modulates macrophage polarization in relapsed melanoma.,2025 Jan 27,N.A.,N.A.,N.A.
39870491,Transient lymphocyte count decrease correlates with oncolytic adenovirus efficacy in humans: mechanistic and biomarker findings from TUNIMO phase I trial.,2025 Jan 27,N.A.,N.A.,N.A.
39870490,Comparative impact of tertiary lymphoid structures and tumor-infiltrating lymphocytes in cholangiocarcinoma.,2025 Jan 27,N.A.,N.A.,N.A.
39870461,Polymicrobial empyema in a patient with lung adenocarcinomacontaining Capnocytophaga sputigena.,2025 Jan 27,N.A.,N.A.,N.A.
39870456,Clinical significance of post-chemoradiotherapy 2-[(18)F]FDG PET/CT response in locally advanced nasopharyngeal carcinoma: A real-world study.,2025 Feb,N.A.,N.A.,N.A.
39870384,Safety of interleukin inhibitors in patients with plaque psoriasis and history of neoplasms: a multicenter retrospective study - IL PSO (Italian landscape psoriasis).,2025 Dec,N.A.,N.A.,N.A.
39870347,Impact of Immunotherapy on the Care Patterns and Outcomes of Patients with Advanced Hepatocellular Carcinoma.,2025 Jan 25,N.A.,N.A.,N.A.
39870307,Long-Term Cognitive Outcomes in Adult Patients Receiving Chimeric Antigen Receptor T-Cell Therapies.,2025 Jan 25,N.A.,N.A.,N.A.
39870304,Comparison of Acute and Late toxicities with Daily vs. Every-Other-Day Five Fraction Partial Breast Radiation Therapy.,2025 Jan 25,N.A.,N.A.,N.A.
39870303,Hypericin photoactivation induces triple-negative breast cancer cells pyroptosis by targeting the ROS/CALR/Caspase-3/GSDME pathway.,2025 Jan 25,N.A.,N.A.,N.A.
39870301,CHMP4C promotes pancreatic cancer progression by inhibiting necroptosis via the RIPK1/RIPK3/MLKL pathway.,2025 Jan 25,N.A.,N.A.,N.A.
39870280,Boric acid-substituted phthalocyanine/ciprofloxacin co-assembled nanoparticles for constructing bacteria-responsive intelligent wound dressings with synergistic therapy and recognition of bacterial infections.,2025 Jan 25,N.A.,N.A.,N.A.
39870256,Folic acid-targeted β-lactoglobulin nanocarriers for enhanced delivery of 5-fluorouracil and sodium butyrate in colorectal cancer treatment.,2025 Jan 25,N.A.,N.A.,N.A.
39870246,Long-term outcomes after endoscopic eradication therapy for dysplastic and T1a adenocarcinoma related Barrett's esophagus: higher rate of late dysplastic recurrence with radio-frequency ablation monotherapy.,2025 Jan 25,N.A.,N.A.,N.A.
39870236,Lactoferrin conjugated radicicol nanoparticles enhanced drug delivery and cytotoxicity in prostate cancer cells.,2025 Jan 25,N.A.,N.A.,N.A.
39870235,GRP78: A New Promising Candidate in Colorectal Cancer Pathogenesis and Therapy.,2025 Jan 25,N.A.,N.A.,N.A.
39870230,The nucleolin antagonist N6L and paclitaxel combination treatment could be a new promising therapeutic strategy for pancreatic ductal adenocarcinoma therapy.,2025 Jan 25,N.A.,N.A.,N.A.
39870217,Brachytherapy Seed Placement by Robotic Bronchoscopy with Cone-Beam CT Guidance for Peripheral Lung Cancer: A Human Cadaveric Feasibility Pilot.,2025 Jan 25,N.A.,N.A.,N.A.
39870194,NKAP: a new m6A RNA binding protein predicts prognosis and immunotherapy response in head and neck squamous cell carcinoma.,2025 Jan 25,N.A.,N.A.,N.A.
39870098,The role of the hypothalamic-pituitary-thyroid axis in thyroid cancer.,2025 Jan 23,N.A.,N.A.,N.A.
39870014,Immunological characteristics of peripheral T cells as prognostic markers for Camrelizumab and Apatinib combination therapy in advanced squamous non-small-cell lung cancer.,2025 Jan 26,N.A.,N.A.,N.A.
39869955,Efficacy and safety of a modified DVD regimen followed by lenalidomide for the treatment of Newly Diagnosed Multiple Myeloma.,2025 Jan 25,N.A.,N.A.,N.A.
39869935,Investigation on the Heating Effects of Intra-Tumoral Injectable Magnetic hydrogels (IT-MG) for Cancer Hyperthermia.,2025 Jan 27,N.A.,N.A.,N.A.
39869930,In Situ Bioconjugation of Synthetic Peptides onto Universal Chimeric Antigen Receptor T Cells for Targeted Cancer Immunotherapies.,2025 Jan 27,N.A.,N.A.,N.A.
39869838,Clinical Activity of Mitogen-Activated Protein Kinase Inhibitors in Patients With MAP2K1 (MEK1)-Mutated Metastatic Cancers.,2025 Jan,N.A.,N.A.,N.A.
39869823,Synergistic Cancer Photoimmunotherapy by Harnessing Near-Infrared-Activated Nanoparticles Containing Charge Transfer Complexes.,2025 Jan 27,N.A.,N.A.,N.A.
39869796,Chronic stress-induced cholesterol metabolism abnormalities promote ESCC tumorigenesis and predict neoadjuvant therapy response.,2025 Feb 4,N.A.,N.A.,N.A.
39869790,Rational Design of Nanozymes for Engineered Cascade Catalytic Cancer Therapy.,2025 Jan 27,N.A.,N.A.,N.A.
39869680,Small molecule modulators of B56-PP2A restore 4E-BP function to suppress eIF4E-dependent translation in cancer cells.,2025 Jan 27,N.A.,N.A.,N.A.
39869644,Spectrum and trends of cancer among HIV patients in Southwestern Uganda.,2025,N.A.,N.A.,N.A.
39869618,Integrated in silico and in vitro exploration of the anti-VEGFR-2 activities of a semisynthetic xanthine alkaloid inhibiting breast cancer.,2025,N.A.,N.A.,N.A.
39869604,"""I just felt that everything came tumbling down around me""-Barriers in cancer care for patients with severe mental illness: A qualitative study.",2025,N.A.,N.A.,N.A.
39869489,METTL3 Potentiates M2 Macrophage-Driven MMT to Aggravate Renal Allograft Fibrosis via the TGF-β1/Smad3 Pathway.,2025 Jan 27,N.A.,N.A.,N.A.
39869433,New Oral Selective Estrogen Receptor Degraders Redefine Management of Estrogen Receptor-Positive Breast Cancer.,2025 Jan,N.A.,N.A.,N.A.
39869325,Essential Thrombocythemia: A Review.,2025 Jan 27,N.A.,N.A.,N.A.
39869305,"Impact of Race/Ethnicity on Clinical and Genomic Characteristics, Trial Participation, and Genotype-Matched Therapy among Patients with Metastatic Breast Cancer.",2025 Jan 27,N.A.,N.A.,N.A.
39869294,Stress regulatory hormones and cancer: the contribution of epinephrine and cancer therapeutic value of beta blockers.,2025 Jan 27,N.A.,N.A.,N.A.
39869280,Exploring ferroptosis and miRNAs: implications for cancer modulation and therapy.,2025 Jan 27,N.A.,N.A.,N.A.
39869238,Keratin/chitosan film promotes wound healing in rats with combined radiation-wound injury.,2025 Jan 27,N.A.,N.A.,N.A.
39869170,An Algorithmic Overview of Advanced Pain Therapies: A Narrative Review.,2025 Jan 27,N.A.,N.A.,N.A.
39869166,Emerging Frontiers in Colorectal Cancer Therapy: From Targeted Molecules to Immunomodulatory Breakthroughs and Cell-Based Approaches.,2025 Jan 27,N.A.,N.A.,N.A.
39869140,Advances in understanding the role of squalene epoxidase in cancer prognosis and resistance.,2025 Jan 27,N.A.,N.A.,N.A.
39869083,Transcriptome of Anaplastic Thyroid Cancer Reveals Two Molecular Subtypes with Distinct Tumor Microenvironment and Prognosis.,2025 Jan 27,N.A.,N.A.,N.A.
39869048,The Intermittent Pneumatic Compression Influences Edema Fluid Movement and Promotes the Compensatory Drainage Pathways in Patients with Breast Cancer Related Lymphedema.,2025 Jan 27,N.A.,N.A.,N.A.
39869046,THG-1/TSC22D4 promotes interleukin-1 signaling through stabilization of TRAF6 in squamous cell carcinoma.,2025 Jan 27,N.A.,N.A.,N.A.
39869029,Design of ROS-Triggered Sesquiterpene Lactone SC Prodrugs as TrxR1 Covalent Inhibitors for the Treatment of Non-Small Cell Lung Cancer.,2025 Jan 27,N.A.,N.A.,N.A.
39869019,Long-Term Outcomes in Radioiodine-Resistant Follicular Cell-Derived Thyroid Cancers Treated with [(177)Lu]Lu-DOTAGA.FAPi Dimer Therapy.,2025 Jan 27,N.A.,N.A.,N.A.
39869014,Cancer-associated thrombosis: what is new?,2025 Jan 17,N.A.,N.A.,N.A.
39869008,Neoadjuvant immunotherapy in melanoma: pathological response as a surrogate endpoint?,2024 Dec 30,N.A.,N.A.,N.A.
39868945,"Mindful self-compassion for lung cancer (MSC-LC): Incorporating perspectives of lung cancer patients, clinicians, and researchers to create an adapted intervention to reduce lung cancer stigma.",2025 Jan 16,N.A.,N.A.,N.A.
39868913,Immune-Mediated Liver Injury From Checkpoint Inhibitor: An Evolving Frontier With Emerging Challenges.,2025 Feb,N.A.,N.A.,N.A.
39868904,Nanoparticle-Mediated Cuproptosis and Photodynamic Synergistic Strategy: A Novel Horizon for Cancer Therapy.,2025 Feb,N.A.,N.A.,N.A.
39868897,Building a Bridge Between the Mechanism of EBV Reactivation and the Treatment of EBV-Associated Cancers.,2025 Feb,N.A.,N.A.,N.A.
39868887,Association of Pretreatment Serum Indirect Bilirubin Levels With Prognostic and Therapeutic Value in Patients With Newly Diagnosed Acute Myeloid Leukemia.,2025 Feb,N.A.,N.A.,N.A.
39868857,Fullerene (C(60) & C(70))-Meso-Tris-4-Carboxyphenyl Porphyrin Dyads Inhibit Entry of Wild-Type and Drug-Resistant HIV-1 Clades B and C.,2025 Feb,N.A.,N.A.,N.A.
39868844,Exploring the role of T cells in Alzheimer's and other neurodegenerative diseases: Emerging therapeutic insights from the T Cells in the Brain symposium.,2025 Jan 27,N.A.,N.A.,N.A.
39868721,Tumor-Infiltrating Lymphocytes Assessed Using the International TILs Working Group System Are Not Prognostic in Medullary Thyroid Cancer.,2025 Jan 27,N.A.,N.A.,N.A.
39868710,[Exploring protein degradation pathways as therapeutic innovations].,2024,N.A.,N.A.,N.A.
39868704,How should we approach salvage therapy in advanced renal cell carcinoma after first-line immunotherapy combinations?,2025 Jan 27,N.A.,N.A.,N.A.
39868675,Integrative Machine Learning of Glioma and Coronary Artery Disease Reveals Key Tumour Immunological Links.,2025 Jan,N.A.,N.A.,N.A.
39868651,Impact of Hepatoblastoma on Infectious Complications Following Pediatric Liver Transplantation.,2025 Feb,N.A.,N.A.,N.A.
39868625,Chronic pain after colorectal cancer treatment: A population-based cross-sectional study.,2025 Feb,N.A.,N.A.,N.A.
39868556,Recent advances in near-infrared organic photosensitizers for photodynamic cancer therapy.,2025 Jan 27,N.A.,N.A.,N.A.
39868534,AAV vector transduction restriction and attenuated toxicity in hESCs via a rationally designed inverted terminal repeat.,2025 Jan 24,N.A.,N.A.,N.A.
39868510,Investigating the Impact of B Cell-Related Genes on Colorectal Cancer Immunosuppressive Environment and Immunotherapy Evasion.,2025 Feb,N.A.,N.A.,N.A.
39868498,Structure-Guided Optimization and Preclinical Evaluation of 6-O-Benzylguanine-Based Pin1 Inhibitor for Hepatocellular Carcinoma Treatment.,2025 Jan 27,N.A.,N.A.,N.A.
39868467,VAX014 Activates Tumor-Intrinsic STING and RIG-I to Promote the Development of Antitumor Immunity.,2025 Jan 27,N.A.,N.A.,N.A.
39868428,Efficient Co-Delivery of Metformin and Ammonia Borane via a Hollow Mesoporous Polydopamine Nanogenerator for Enhanced Chemo-Photothermal Therapy against Melanoma.,2025 Jan 27,N.A.,N.A.,N.A.
39868380,Survival analysis of recurrent ovarian cancer under different PARP inhibitor treatment patterns: a single-center retrospective study.,2024,N.A.,N.A.,N.A.
39868375,Pulmonary sarcomatoid carcinoma coexisting with tuberculosis: a case report and literature review.,2024,N.A.,N.A.,N.A.
39868374,EIF4A3-induced circ_0022382 promotes breast cancer cell progression through the let-7a-5p/PI3K/AKT/mTOR signaling pathway and SLC7A11 axis.,2024,N.A.,N.A.,N.A.
39868372,Case report: Malignant priapism: penile metastasis from prostate cancer with low serum PSA level.,2024,N.A.,N.A.,N.A.
39868369,Efficacy of PARPi re-maintenance therapy for recurrent ovarian cancer.,2024,N.A.,N.A.,N.A.
